source_ip,timestamp,port,protocol,login_attempts,session_duration,country,city,lat,lon,asn
110.40.252.230,2026-05-16T08:05:42.598182,42198,tcp,2,0.13,China,Beijing,39.9042,116.4074,AS4808
5.130.35.136,2026-05-20T23:58:25.598182,40359,icmp,2,6.32,Brazil,Sao Paulo,-23.5505,-46.6333,AS10834
203.51.168.191,2026-05-21T14:50:00.598182,4444,tcp,3,2668.41,United States,New York,40.7128,-74.006,AS15169
23.109.83.204,2026-05-09T23:34:58.598182,54999,tcp,1,3.4,Brazil,Sao Paulo,-23.5505,-46.6333,AS10834
227.117.75.201,2026-05-01T10:26:17.598182,50041,udp,2,9.37,India,Mumbai,19.076,72.8777,AS55636
128.176.103.134,2026-05-01T20:05:43.598182,55784,tcp,2,4.2,India,Mumbai,19.076,72.8777,AS55636
48.118.235.251,2026-05-27T01:09:25.598182,4444,udp,1,5.52,India,Mumbai,19.076,72.8777,AS55636
86.177.234.70,2026-05-06T15:45:36.598182,23,tcp,12,914.49,Japan,Tokyo,35.6895,139.6917,AS2516
173.15.69.195,2026-05-12T23:02:36.598182,60912,udp,38,3208.95,India,Mumbai,19.076,72.8777,AS55636
163.241.220.127,2026-05-04T15:36:55.598182,443,tcp,2,5.37,Netherlands,Amsterdam,52.3676,4.9041,AS1136
193.57.245.120,2026-05-06T00:49:42.598182,41031,tcp,0,3.07,Japan,Tokyo,35.6895,139.6917,AS2516
11.131.75.13,2026-05-08T10:36:30.598182,15523,udp,10,2999.33,Japan,Tokyo,35.6895,139.6917,AS2516
254.29.110.59,2026-05-21T05:37:35.598182,443,tcp,0,2.37,Japan,Tokyo,35.6895,139.6917,AS2516
13.79.118.74,2026-05-20T07:22:26.598182,29060,tcp,38,1569.67,Russia,Moscow,55.7558,37.6173,AS12389
1.163.137.53,2026-05-22T10:18:36.598182,80,udp,1,2.08,United States,New York,40.7128,-74.006,AS15169
63.75.165.162,2026-05-02T09:29:02.598182,3306,udp,39,2455.6,China,Beijing,39.9042,116.4074,AS4808
205.25.3.24,2026-05-17T06:14:47.598182,7475,tcp,7,2845.04,United Kingdom,London,51.5074,-0.1278,AS209
100.199.80.255,2026-05-24T23:15:03.598182,43037,udp,2,9.95,Japan,Tokyo,35.6895,139.6917,AS2516
5.134.145.74,2026-05-10T05:33:46.598182,22,tcp,2,1.06,China,Beijing,39.9042,116.4074,AS4808
36.53.180.159,2026-05-07T19:43:02.598182,47362,tcp,2,8.23,France,Paris,48.8566,2.3522,AS12876
