timestamp,ip_address,country,latitude,longitude,protocol,attack_type,login_attempts,session_duration,unique_ports,payload_size
2024-01-04 09:08:47,152.108.8.8,South Korea,32.0211,130.1824,SSH,port_scan,174,89.01,35,5797
2024-01-18 08:41:44,208.222.1.195,Germany,51.2193,5.7169,DNS,port_scan,108,26.84,38,18331
2024-01-04 09:48:21,155.67.206.12,France,45.4537,-0.0076,SMTP,xss,24,45.9,23,22641
2024-01-21 05:18:53,50.180.17.12,Romania,42.1915,29.1898,SMTP,port_scan,159,106.31,24,37937
2024-01-09 09:06:24,95.90.53.172,Japan,34.0987,134.0508,FTP,credential_stuffing,117,76.46,24,10759
2024-01-08 17:34:46,177.142.56.176,UK,57.2136,-7.722,FTP,brute_force,42,55.74,18,42043
2024-01-30 12:04:13,168.127.101.227,Germany,54.3837,13.502,SMTP,xss,146,105.23,21,14034
2024-01-19 15:16:47,57.35.130.127,USA,34.739,-98.2466,SSH,brute_force,110,107.79,26,23823
2024-01-03 19:27:38,65.248.141.221,Canada,52.2269,-105.0723,SSH,credential_stuffing,99,46.1,30,34776
2024-01-11 18:49:41,1.244.184.225,France,42.3731,6.0616,SMTP,sql_injection,29,35.57,11,29835
2024-01-27 06:40:19,96.195.41.139,Romania,48.5628,25.0436,DNS,directory_traversal,164,61.17,13,10116
2024-01-29 00:59:23,243.20.21.188,UK,50.3838,-5.1944,Telnet,brute_force,79,29.11,16,37282
2024-01-09 17:35:10,238.138.193.187,Japan,36.5319,134.5105,SMTP,port_scan,136,104.76,28,13980
2024-01-17 17:28:57,87.5.150.142,France,44.3448,7.1652,HTTP,directory_traversal,116,14.96,15,4296
2024-01-02 03:04:57,172.124.54.139,Germany,46.2376,12.5299,HTTP,credential_stuffing,85,8.97,16,18350
2024-01-14 09:30:51,91.108.105.120,UK,59.2019,-2.6739,DNS,credential_stuffing,49,11.77,43,28349
2024-01-11 06:25:46,115.35.108.47,China,37.5953,109.0371,FTP,xss,28,30.21,13,35246
2024-01-04 19:54:35,249.23.237.193,Germany,54.9106,6.2053,DNS,port_scan,13,78.43,35,1067
2024-01-06 20:57:03,238.200.200.117,USA,36.1543,-95.8993,FTP,xss,98,0.76,25,17480
2024-01-05 15:45:31,189.138.15.192,France,50.8008,7.1679,FTP,brute_force,49,35.96,4,38057
2024-01-17 20:10:03,18.172.220.61,China,36.7035,104.2239,Telnet,brute_force,21,102.24,5,39096
2024-01-22 02:05:26,53.171.183.81,UK,56.0749,-2.6468,HTTP,sql_injection,150,68.04,21,17189
2024-01-30 14:59:48,26.18.137.55,Netherlands,48.4414,6.7463,RDP,sql_injection,19,1.61,40,36996
2024-01-06 20:23:18,157.251.252.207,USA,41.4228,-91.9043,SMTP,directory_traversal,113,100.13,46,19925
2024-01-05 21:06:56,142.39.69.73,China,37.5403,104.7414,RDP,port_scan,68,14.29,7,48755
2024-01-09 20:32:31,12.0.85.198,France,44.6564,4.0887,HTTP,credential_stuffing,14,11.53,28,18232
2024-01-04 18:35:00,140.9.213.95,Brazil,-17.6192,-52.5069,RDP,directory_traversal,20,113.43,45,9868
2024-01-28 12:59:50,64.170.26.91,USA,36.3881,-100.2946,DNS,directory_traversal,11,107.92,14,44799
2024-01-08 18:59:59,7.45.188.237,UK,59.1252,1.3024,FTP,xss,42,117.16,12,27120
2024-01-23 09:10:50,57.51.209.236,Japan,37.9039,140.6035,Telnet,sql_injection,28,46.21,3,30947
2024-01-13 09:42:12,90.164.130.103,Brazil,-11.0296,-48.2121,SMTP,directory_traversal,85,33.79,5,18392
2024-01-09 22:11:37,187.201.80.112,India,24.9861,75.1163,RDP,directory_traversal,10,13.45,28,22754
2024-01-01 10:45:27,185.240.189.189,Russia,60.376,106.0847,SMTP,port_scan,134,111.11,35,45113
2024-01-22 21:39:20,80.170.104.84,India,19.9067,83.4516,Telnet,credential_stuffing,32,86.51,20,33334
2024-01-24 17:24:43,141.213.0.78,Brazil,-13.6909,-55.0069,FTP,port_scan,45,74.05,20,26712
2024-01-22 11:28:28,169.21.72.132,Netherlands,54.9902,6.3579,SMTP,credential_stuffing,55,61.59,48,11220
2024-01-08 18:43:19,252.121.156.218,Iran,30.7798,56.8722,DNS,brute_force,51,18.11,3,16146
2024-01-16 08:44:24,2.228.192.221,Ukraine,47.5238,32.4633,DNS,brute_force,103,29.66,42,45164
2024-01-02 22:33:29,35.205.118.171,Japan,35.4563,135.0118,RDP,directory_traversal,143,30.28,8,30014
2024-01-29 13:52:46,230.40.190.221,Iran,30.6009,56.2405,Telnet,xss,130,51.5,36,29323
2024-01-16 10:49:33,183.73.60.70,Brazil,-11.7172,-48.5267,FTP,sql_injection,161,29.09,29,5177
2024-01-23 09:44:09,139.119.106.16,UK,55.7796,-7.0523,HTTP,xss,55,8.18,27,21784
2024-01-25 17:54:56,77.192.99.219,Netherlands,56.181,6.1321,DNS,xss,148,45.96,1,23152
2024-01-08 16:14:31,87.171.173.205,Romania,48.4184,25.4281,Telnet,credential_stuffing,70,52.58,2,25584
2024-01-30 23:34:01,22.164.109.35,USA,40.4953,-91.5175,DNS,xss,101,71.23,43,1876
2024-01-25 09:20:21,214.20.120.5,USA,32.593,-96.9219,SMTP,directory_traversal,98,33.75,27,16632
2024-01-02 17:49:41,215.5.159.40,China,40.8608,102.695,HTTP,port_scan,194,4.21,16,13165
2024-01-25 09:44:16,184.29.199.210,Ukraine,50.074,31.8053,HTTP,sql_injection,95,20.55,39,49116
2024-01-13 16:58:24,213.160.62.27,Russia,62.3108,109.6077,SMTP,sql_injection,184,24.2,38,45360
2024-01-02 19:36:50,18.129.165.88,Canada,57.973,-103.2915,SSH,xss,89,64.16,43,24385
2024-01-15 12:57:53,134.247.166.70,Canada,56.0324,-107.0116,RDP,directory_traversal,182,18.78,12,48190
2024-01-28 18:17:20,226.115.62.193,Japan,36.0398,137.6086,Telnet,directory_traversal,63,99.77,6,18379
2024-01-16 14:20:11,72.225.152.180,Iran,34.1098,52.052,FTP,directory_traversal,55,42.9,17,22404
2024-01-18 09:26:31,183.125.114.203,China,36.028,101.106,SSH,brute_force,195,29.22,31,42429
2024-01-16 11:37:23,141.84.90.180,Brazil,-17.019,-50.0074,Telnet,sql_injection,142,63.95,28,48985
2024-01-18 08:07:47,190.123.70.186,Brazil,-16.721,-55.7187,RDP,directory_traversal,196,82.97,13,14280
2024-01-06 08:14:23,71.11.249.14,Iran,30.2579,49.6933,RDP,sql_injection,78,2.19,35,8395
2024-01-01 18:06:55,88.47.247.14,France,50.6685,3.5924,FTP,xss,147,34.48,31,28966
2024-01-02 04:40:43,22.254.63.31,Russia,64.7452,104.3259,RDP,xss,39,18.33,37,20012
2024-01-30 19:24:28,79.145.158.16,Iran,33.3892,54.8722,RDP,credential_stuffing,114,36.03,38,28203
2024-01-06 09:42:05,1.104.115.177,Russia,65.9999,102.3967,RDP,xss,62,21.27,5,10358
2024-01-03 10:55:29,151.169.205.240,Brazil,-18.9086,-54.0443,HTTP,xss,176,28.39,17,41063
2024-01-03 21:52:09,192.211.145.236,Russia,61.9696,106.7951,FTP,xss,16,20.33,20,39096
2024-01-18 12:17:32,228.110.188.83,Russia,61.211,103.3597,RDP,sql_injection,127,52.81,39,2712
2024-01-01 20:36:37,11.195.193.45,China,31.775,108.8145,Telnet,directory_traversal,196,80.84,18,37864
2024-01-27 23:27:40,105.85.82.172,South Korea,35.3301,125.5485,SSH,port_scan,126,116.3,31,22903
2024-01-25 17:25:52,65.82.29.249,India,19.7102,78.9176,DNS,xss,141,4.89,6,20712
2024-01-14 17:34:29,194.127.160.114,Canada,56.2764,-101.4656,DNS,brute_force,14,22.92,24,40904
2024-01-16 10:56:44,205.61.181.41,Germany,48.8363,6.7616,FTP,directory_traversal,32,3.95,41,40003
2024-01-15 23:58:07,239.183.74.131,China,36.3842,100.1275,SMTP,sql_injection,31,77.9,10,32761
2024-01-13 09:35:09,226.34.221.18,Netherlands,55.4798,10.0937,FTP,xss,49,110.66,33,49009
2024-01-10 19:18:46,222.38.114.138,India,24.9362,79.0403,Telnet,sql_injection,151,69.8,43,32189
2024-01-07 14:20:55,220.198.105.12,India,21.1129,79.3972,FTP,credential_stuffing,179,29.04,25,15406
2024-01-27 12:42:50,33.128.247.152,Ukraine,50.4317,34.2797,FTP,brute_force,167,117.71,32,2526
2024-01-05 21:00:46,121.200.248.68,Canada,59.5808,-110.3497,FTP,directory_traversal,105,104.58,10,5003
2024-01-18 11:43:54,228.194.124.224,France,45.2024,-1.9831,RDP,brute_force,98,114.52,41,47201
2024-01-03 21:14:47,181.223.25.114,Iran,28.1121,54.9996,HTTP,credential_stuffing,112,117.41,49,41633
2024-01-12 19:18:22,145.174.202.47,Brazil,-10.2008,-56.4654,HTTP,port_scan,111,17.9,34,27104
2024-01-19 17:31:58,118.65.170.3,Russia,62.6189,104.1442,DNS,xss,37,28.25,41,16744
2024-01-10 04:22:37,117.216.77.51,UK,53.2544,-2.97,Telnet,xss,164,115.46,45,16490
2024-01-01 16:44:18,222.175.199.191,Russia,58.8961,106.038,SSH,directory_traversal,169,47.8,1,37188
2024-01-20 10:51:14,65.173.193.185,France,46.1949,6.2553,DNS,credential_stuffing,91,26.67,13,40790
2024-01-10 21:41:02,34.23.232.76,South Korea,39.2912,129.0494,FTP,credential_stuffing,113,4.49,24,48095
2024-01-17 15:23:33,248.206.75.192,Netherlands,48.889,1.6129,DNS,sql_injection,70,99.74,17,31678
2024-01-22 07:14:55,94.23.202.102,Japan,32.3565,142.8818,SSH,sql_injection,186,81.09,26,36624
2024-01-13 18:16:37,60.120.6.159,Romania,42.1791,23.6527,RDP,sql_injection,164,112.86,7,44326
2024-01-23 17:29:58,12.242.9.78,UK,56.4789,-1.9595,Telnet,brute_force,78,78.08,8,9260
2024-01-24 12:23:42,191.186.39.227,Russia,58.872,105.6943,Telnet,credential_stuffing,179,113.54,27,38591
2024-01-23 22:17:02,219.92.25.252,Russia,64.8609,106.4753,SMTP,sql_injection,95,26.46,29,15573
2024-01-04 03:17:12,164.152.248.6,Romania,49.9602,26.4151,SSH,sql_injection,117,11.45,14,42154
2024-01-18 09:53:48,199.37.201.231,Germany,56.0539,13.3213,RDP,brute_force,54,70.57,15,21632
2024-01-06 07:16:51,4.91.202.202,Brazil,-10.6509,-55.4784,HTTP,directory_traversal,29,79.5,2,8737
2024-01-04 07:26:33,132.151.27.116,India,15.7515,76.6166,RDP,port_scan,191,8.1,29,23826
2024-01-15 20:33:19,217.102.109.176,Iran,27.8616,56.5203,SSH,xss,165,115.7,4,31490
2024-01-03 05:38:09,141.182.83.98,France,50.3246,-2.0514,RDP,directory_traversal,33,33.36,41,38462
2024-01-28 06:44:07,185.221.55.111,Brazil,-14.6978,-50.871,Telnet,port_scan,168,78.28,50,36232
2024-01-14 13:06:20,176.236.121.18,Netherlands,50.5219,4.8263,SSH,brute_force,81,79.98,24,10103
2024-01-02 12:08:35,172.31.105.91,Russia,60.8428,107.7647,DNS,credential_stuffing,151,114.82,36,21703
2024-01-10 03:18:38,40.168.123.58,Japan,35.4342,142.4113,DNS,brute_force,91,12.88,33,14042
2024-01-26 18:36:14,158.172.164.143,India,24.0474,77.6385,SSH,directory_traversal,110,101.5,50,40845
2024-01-25 01:17:44,47.222.36.145,UK,56.9564,-1.5013,SMTP,xss,80,110.62,23,500
2024-01-07 01:47:33,95.79.184.84,Russia,57.9427,106.6505,DNS,directory_traversal,97,50.67,22,10415
2024-01-22 07:39:03,125.155.113.107,Iran,28.2775,49.2141,FTP,port_scan,21,33.02,43,27888
2024-01-19 06:43:43,57.101.252.154,Japan,36.3283,136.7046,SSH,brute_force,125,63.47,20,3076
2024-01-11 07:16:18,45.33.97.137,Germany,49.1799,7.5638,SMTP,port_scan,31,1.42,48,28323
2024-01-24 11:25:55,221.80.147.110,Romania,46.5304,26.6473,RDP,xss,11,52.63,30,5202
2024-01-26 12:20:10,23.111.216.28,France,47.629,0.1089,HTTP,xss,159,55.48,45,23814
2024-01-08 20:47:21,163.29.135.131,Iran,31.4324,49.4745,HTTP,sql_injection,86,93.6,5,33555
2024-01-05 19:15:06,195.194.167.20,India,22.8675,82.1524,HTTP,credential_stuffing,66,24.07,39,10118
2024-01-29 16:43:59,222.248.160.81,Ukraine,48.0189,31.803,HTTP,xss,145,77.34,40,21281
2024-01-12 19:37:03,10.14.94.213,Russia,61.2132,106.6327,FTP,brute_force,130,9.37,30,29716
2024-01-15 16:32:24,116.232.207.147,South Korea,39.5503,131.3198,SMTP,port_scan,149,66.74,48,2788
2024-01-26 22:28:06,166.44.10.64,India,21.6438,78.9766,SMTP,xss,88,117.9,6,33166
2024-01-13 12:58:18,14.202.161.166,Ukraine,48.6201,32.2637,FTP,brute_force,105,93.05,44,39283
2024-01-22 10:46:54,150.169.36.235,India,16.5388,80.7467,FTP,sql_injection,155,104.86,22,5441
2024-01-18 16:05:19,172.179.212.243,South Korea,37.8926,126.6865,SMTP,credential_stuffing,97,77.4,22,8475
2024-01-12 13:23:01,243.196.124.50,UK,55.642,-1.9758,HTTP,port_scan,80,22.04,14,22495
2024-01-27 06:49:34,87.224.196.159,USA,32.8619,-92.2686,HTTP,directory_traversal,190,106.1,3,43480
2024-01-29 17:39:51,94.173.184.61,Netherlands,48.6751,2.0998,Telnet,directory_traversal,43,86.68,3,27026
2024-01-26 09:15:19,174.242.146.253,Brazil,-11.7111,-49.0873,Telnet,xss,121,108.52,13,24206
2024-01-07 15:10:52,165.123.223.96,Japan,34.0225,137.0716,RDP,brute_force,155,17.04,17,3519
2024-01-09 10:48:10,24.242.233.57,France,49.6865,5.7254,DNS,xss,116,108.68,10,28770
2024-01-08 03:32:23,8.81.238.26,UK,53.874,-8.1693,DNS,credential_stuffing,99,119.35,24,14815
2024-01-16 02:58:53,121.114.157.2,South Korea,34.2607,124.2274,SSH,brute_force,179,99.82,49,46338
2024-01-14 22:38:33,32.12.61.108,Brazil,-17.0785,-55.4301,SMTP,directory_traversal,29,93.25,16,19836
2024-01-21 14:34:01,75.109.0.158,Ukraine,44.0075,34.5325,FTP,port_scan,132,69.22,46,9509
2024-01-17 05:23:04,6.99.223.121,Iran,31.5936,55.3317,SSH,credential_stuffing,140,61.13,33,36416
2024-01-12 00:50:04,198.148.188.194,Netherlands,56.943,2.8278,FTP,port_scan,62,88.09,41,6893
2024-01-22 17:53:49,47.207.34.17,China,34.3847,102.5809,SMTP,xss,119,117.71,31,41501
2024-01-30 08:02:20,65.9.192.166,China,33.7961,99.6335,HTTP,sql_injection,80,62.09,35,31124
2024-01-26 17:17:07,113.229.244.99,India,24.2151,74.4409,FTP,port_scan,95,52.72,26,48813
2024-01-03 19:17:51,211.46.139.76,Ukraine,50.3001,29.8391,FTP,brute_force,187,51.23,28,39582
2024-01-06 13:45:27,187.222.233.91,Russia,59.8032,103.2752,RDP,xss,177,53.55,29,2875
2024-01-13 03:42:40,41.243.7.37,Brazil,-12.8403,-49.0105,DNS,directory_traversal,94,61.81,48,44625
2024-01-12 04:49:41,155.39.173.116,South Korea,38.7209,123.1149,FTP,sql_injection,93,46.25,37,2222
2024-01-21 15:25:20,189.47.127.133,Ukraine,51.0102,31.9048,Telnet,directory_traversal,72,30.33,8,1798
2024-01-23 13:39:18,116.44.230.183,Russia,59.1418,102.9217,Telnet,brute_force,126,24.42,9,4953
2024-01-03 11:22:45,183.181.237.180,Japan,38.0241,141.7081,SMTP,port_scan,141,65.29,20,10422
2024-01-08 23:50:08,95.119.205.252,Japan,34.8197,135.4953,RDP,port_scan,127,3.64,36,37604
2024-01-16 12:45:46,19.32.248.82,Iran,36.2704,49.3455,SMTP,brute_force,135,49.59,27,37776
2024-01-18 07:53:49,111.128.233.223,Ukraine,48.0377,31.3392,SSH,brute_force,164,70.74,50,8556
2024-01-12 11:45:14,51.162.244.142,Romania,42.4734,21.6134,FTP,port_scan,133,107.44,6,16523
2024-01-19 14:10:37,231.154.86.216,South Korea,33.936,128.1017,RDP,brute_force,40,20.96,40,47327
2024-01-09 22:49:36,159.163.7.128,Canada,59.7682,-110.5346,SMTP,directory_traversal,167,25.69,37,27401
2024-01-13 09:51:43,41.112.106.124,Brazil,-12.8159,-53.9044,Telnet,port_scan,77,54.7,45,4026
2024-01-12 18:46:55,144.27.81.62,India,21.6603,77.0887,Telnet,brute_force,103,16.13,24,33849
2024-01-20 03:24:55,240.147.184.81,Brazil,-14.739,-55.5165,HTTP,port_scan,108,30.17,11,21558
2024-01-03 20:31:01,150.90.12.13,Ukraine,53.3391,30.8338,FTP,xss,101,60.9,16,14199
2024-01-28 14:34:00,94.195.103.94,Iran,36.2513,55.2306,SSH,xss,28,52.0,17,47777
2024-01-17 15:04:24,175.156.30.33,China,36.5645,101.142,SSH,xss,116,91.85,18,40944
2024-01-07 22:48:09,12.9.35.183,India,23.5427,77.3538,FTP,xss,155,61.34,33,2738
2024-01-20 15:20:59,216.76.151.87,Romania,45.5131,26.0294,RDP,directory_traversal,82,19.92,40,48552
2024-01-11 14:01:23,79.203.230.186,Romania,45.8417,25.596,DNS,credential_stuffing,173,13.6,27,38353
2024-01-19 22:50:49,123.43.134.162,South Korea,31.1743,127.5128,SMTP,directory_traversal,148,27.69,4,38341
2024-01-23 17:02:36,108.38.105.177,Japan,39.6165,134.7307,HTTP,xss,29,23.3,29,20658
2024-01-02 20:47:46,84.169.122.135,Romania,48.6929,29.172,Telnet,sql_injection,181,17.0,14,36858
2024-01-28 15:43:49,157.123.49.246,USA,36.6868,-95.3816,HTTP,sql_injection,185,81.85,45,17425
2024-01-23 23:49:18,123.89.143.240,Romania,43.9282,29.3817,DNS,credential_stuffing,54,82.98,32,20877
2024-01-27 15:57:25,11.73.244.183,Brazil,-16.3571,-51.1905,SSH,sql_injection,89,114.58,10,19135
2024-01-18 14:12:52,36.27.157.190,UK,54.8019,-5.8716,RDP,port_scan,70,112.0,45,17900
2024-01-04 09:14:03,175.197.35.2,Germany,46.6734,14.5033,RDP,port_scan,106,39.97,31,6689
2024-01-25 14:41:12,233.196.22.167,Netherlands,53.6615,9.0978,RDP,port_scan,74,38.88,42,3977
2024-01-14 02:58:11,202.126.47.240,Romania,48.3301,28.4701,SMTP,sql_injection,46,112.1,3,26117
2024-01-10 16:59:21,127.227.240.35,UK,50.7528,-5.4521,DNS,directory_traversal,117,118.7,35,34461
2024-01-21 11:46:29,87.202.75.146,Ukraine,46.1078,34.2537,SMTP,port_scan,66,86.37,1,48374
2024-01-11 12:27:32,252.35.122.83,USA,38.1997,-94.3256,HTTP,brute_force,23,48.4,7,12209
2024-01-19 10:21:19,93.177.60.16,Brazil,-15.3993,-52.4579,SMTP,brute_force,186,68.96,17,42939
2024-01-23 14:57:56,235.240.75.95,Ukraine,46.4475,30.2198,RDP,port_scan,198,37.66,8,41958
2024-01-14 13:38:23,138.205.170.212,Germany,55.7393,10.2333,HTTP,port_scan,180,66.13,31,49733
2024-01-23 05:28:33,16.212.140.232,South Korea,38.4552,131.4983,RDP,port_scan,93,9.83,37,7453
2024-01-22 20:28:07,231.130.114.208,Iran,32.7945,50.3334,SSH,xss,53,86.17,32,6059
2024-01-26 03:29:43,210.0.190.56,USA,37.2227,-96.1449,RDP,brute_force,79,86.93,26,16776
2024-01-29 15:03:59,74.104.46.197,China,35.0987,106.1992,HTTP,credential_stuffing,18,118.34,31,2179
2024-01-28 23:24:28,224.138.34.168,France,47.6864,1.4173,DNS,sql_injection,97,45.39,44,43471
2024-01-27 15:46:14,173.184.139.109,Russia,58.3087,105.6914,RDP,xss,1,90.86,20,30443
