timestamp,ip_address,country,latitude,longitude,protocol,attack_type,login_attempts,session_duration,unique_ports,payload_size,cluster,attacker_profile,threat_score,mitre_id,mitre_technique,mitre_tactic,mitre_severity,hour,attack_speed,is_night_attacker,preferred_hour,retry_rate,is_persistent,gave_up_quickly,is_focused,is_scanner,is_slow_attacker,is_aggressive,stealth_score,behavior_persona
2024-01-04 09:08:47,152.108.8.8,South Korea,32.0211,130.1824,SSH,port_scan,174,89.01,35,5797,0,Driven Explorer,80,T1046,Network Service Discovery,Discovery,Medium,9,0.5086285714285714,False,9,1.9331185423841795,True,False,False,True,False,True,25,Script Kiddie
2024-01-18 08:41:44,208.222.1.195,Germany,51.2193,5.7169,DNS,port_scan,108,26.84,38,18331,0,Driven Explorer,67,T1046,Network Service Discovery,Discovery,Medium,8,0.24623853211009175,False,8,3.8793103448275863,True,False,False,True,False,True,25,Script Kiddie
2024-01-04 09:48:21,155.67.206.12,France,45.4537,-0.0076,SMTP,xss,24,45.9,23,22641,2,Casual Scanner,21,T1189,Drive-by Compromise,Initial Access,High,9,1.8359999999999999,False,9,0.511727078891258,False,False,False,True,False,False,0,Researcher/Scanner
2024-01-21 05:18:53,50.180.17.12,Romania,42.1915,29.1898,SMTP,port_scan,159,106.31,24,37937,1,Targeted Attacker,93,T1046,Network Service Discovery,Discovery,High,5,0.6644375,True,5,1.4816885658372938,True,False,False,True,False,True,45,Script Kiddie
2024-01-09 09:06:24,95.90.53.172,Japan,34.0987,134.0508,FTP,credential_stuffing,117,76.46,24,10759,0,Driven Explorer,70,T1078,Valid Accounts,Defense Evasion,Critical,9,0.6479661016949152,False,9,1.5104570100697134,True,False,False,True,False,True,25,Script Kiddie
2024-01-08 17:34:46,177.142.56.176,UK,57.2136,-7.722,FTP,brute_force,42,55.74,18,42043,2,Casual Scanner,34,T1110,Brute Force,Credential Access,High,17,1.296279069767442,False,17,0.7402185407120198,False,False,False,True,False,False,0,Researcher/Scanner
2024-01-30 12:04:13,168.127.101.227,Germany,54.3837,13.502,SMTP,xss,146,105.23,21,14034,0,Driven Explorer,78,T1189,Drive-by Compromise,Initial Access,High,12,0.7158503401360544,False,12,1.3743763531958957,True,False,False,True,False,True,25,Script Kiddie
2024-01-19 15:16:47,57.35.130.127,USA,34.739,-98.2466,SSH,brute_force,110,107.79,26,23823,0,Driven Explorer,68,T1110,Brute Force,Credential Access,High,15,0.9710810810810812,False,15,1.0111223458038423,True,False,False,True,False,True,25,Script Kiddie
2024-01-03 19:27:38,65.248.141.221,Canada,52.2269,-105.0723,SSH,credential_stuffing,99,46.1,30,34776,1,Targeted Attacker,84,T1078,Valid Accounts,Defense Evasion,Critical,19,0.461,False,19,2.1019108280254777,True,False,False,True,False,True,25,Script Kiddie
2024-01-11 18:49:41,1.244.184.225,France,42.3731,6.0616,SMTP,sql_injection,29,35.57,11,29835,2,Casual Scanner,25,T1190,Exploit Public-Facing Application,Initial Access,Critical,18,1.1856666666666666,False,18,0.7929997265518184,False,False,False,True,False,False,0,Researcher/Scanner
2024-01-27 06:40:19,96.195.41.139,Romania,48.5628,25.0436,DNS,directory_traversal,164,61.17,13,10116,0,Driven Explorer,80,T1083,File and Directory Discovery,Discovery,Medium,6,0.37072727272727274,True,6,2.6379282612192374,True,False,False,True,False,True,45,Script Kiddie
2024-01-29 00:59:23,243.20.21.188,UK,50.3838,-5.1944,Telnet,brute_force,79,29.11,16,37282,2,Casual Scanner,40,T1110,Brute Force,Credential Access,High,0,0.363875,True,0,2.6237130521421457,True,False,False,True,False,True,45,Script Kiddie
2024-01-09 17:35:10,238.138.193.187,Japan,36.5319,134.5105,SMTP,port_scan,136,104.76,28,13980,0,Driven Explorer,75,T1046,Network Service Discovery,Discovery,Medium,17,0.7646715328467154,False,17,1.285930408472012,True,False,False,True,False,True,25,Script Kiddie
2024-01-17 17:28:57,87.5.150.142,France,44.3448,7.1652,HTTP,directory_traversal,116,14.96,15,4296,0,Driven Explorer,69,T1083,File and Directory Discovery,Discovery,Medium,17,0.12786324786324788,False,17,7.268170426065162,True,False,False,True,False,True,25,Script Kiddie
2024-01-02 03:04:57,172.124.54.139,Germany,46.2376,12.5299,HTTP,credential_stuffing,85,8.97,16,18350,2,Casual Scanner,40,T1078,Valid Accounts,Defense Evasion,Critical,3,0.10430232558139535,True,3,8.525576730190572,True,True,False,True,False,True,45,Script Kiddie
2024-01-14 09:30:51,91.108.105.120,UK,59.2019,-2.6739,DNS,credential_stuffing,49,11.77,43,28349,2,Casual Scanner,39,T1078,Valid Accounts,Defense Evasion,Critical,9,0.2354,False,9,3.837118245888802,False,False,False,True,False,True,0,Script Kiddie
2024-01-11 06:25:46,115.35.108.47,China,37.5953,109.0371,FTP,xss,28,30.21,13,35246,2,Casual Scanner,24,T1189,Drive-by Compromise,Initial Access,High,6,1.0417241379310345,True,6,0.8971483498878564,False,False,False,True,False,False,20,Researcher/Scanner
2024-01-04 19:54:35,249.23.237.193,Germany,54.9106,6.2053,DNS,port_scan,13,78.43,35,1067,0,Driven Explorer,38,T1046,Network Service Discovery,Discovery,Medium,19,5.602142857142858,False,19,0.1636661211129296,False,False,False,True,True,False,30,Researcher/Scanner
2024-01-06 20:57:03,238.200.200.117,USA,36.1543,-95.8993,FTP,xss,98,0.76,25,17480,2,Casual Scanner,40,T1189,Drive-by Compromise,Initial Access,High,20,0.007676767676767677,False,20,55.68181818181818,True,True,False,True,False,True,25,Script Kiddie
2024-01-05 15:45:31,189.138.15.192,France,50.8008,7.1679,FTP,brute_force,49,35.96,4,38057,2,Casual Scanner,39,T1110,Brute Force,Credential Access,High,15,0.7192000000000001,False,15,1.3257575757575757,False,False,True,False,False,True,25,Script Kiddie
2024-01-17 20:10:03,18.172.220.61,China,36.7035,104.2239,Telnet,brute_force,21,102.24,5,39096,2,Casual Scanner,19,T1110,Brute Force,Credential Access,High,20,4.647272727272727,False,20,0.20340953118946145,False,False,True,False,False,False,25,Script Kiddie
2024-01-22 02:05:26,53.171.183.81,UK,56.0749,-2.6468,HTTP,sql_injection,150,68.04,21,17189,0,Driven Explorer,80,T1190,Exploit Public-Facing Application,Initial Access,Critical,2,0.45059602649006625,True,2,2.172653534183082,True,False,False,True,False,True,45,Script Kiddie
2024-01-30 14:59:48,26.18.137.55,Netherlands,48.4414,6.7463,RDP,sql_injection,19,1.61,40,36996,2,Casual Scanner,18,T1190,Exploit Public-Facing Application,Initial Access,Critical,14,0.0805,False,14,7.279693486590038,False,True,False,True,False,True,0,Script Kiddie
2024-01-06 20:23:18,157.251.252.207,USA,41.4228,-91.9043,SMTP,directory_traversal,113,100.13,46,19925,0,Driven Explorer,68,T1083,File and Directory Discovery,Discovery,Medium,20,0.8783333333333333,False,20,1.117373677444873,True,False,False,True,False,True,25,Script Kiddie
2024-01-05 21:06:56,142.39.69.73,China,37.5403,104.7414,RDP,port_scan,68,14.29,7,48755,2,Casual Scanner,40,T1046,Network Service Discovery,Discovery,Medium,21,0.2071014492753623,False,21,4.4473512099411385,True,False,False,True,False,True,25,Script Kiddie
2024-01-09 20:32:31,12.0.85.198,France,44.6564,4.0887,HTTP,credential_stuffing,14,11.53,28,18232,2,Casual Scanner,14,T1078,Valid Accounts,Defense Evasion,Critical,20,0.7686666666666666,False,20,1.11731843575419,False,False,False,True,False,True,0,Script Kiddie
2024-01-04 18:35:00,140.9.213.95,Brazil,-17.6192,-52.5069,RDP,directory_traversal,20,113.43,45,9868,0,Driven Explorer,41,T1083,File and Directory Discovery,Discovery,Medium,18,5.401428571428572,False,18,0.17477934108188412,False,False,False,True,True,False,30,Researcher/Scanner
2024-01-28 12:59:50,64.170.26.91,USA,36.3881,-100.2946,DNS,directory_traversal,11,107.92,14,44799,2,Casual Scanner,12,T1083,File and Directory Discovery,Discovery,Medium,12,8.993333333333334,False,12,0.10099155343371281,False,False,False,True,True,False,30,Researcher/Scanner
2024-01-08 18:59:59,7.45.188.237,UK,59.1252,1.3024,FTP,xss,42,117.16,12,27120,2,Casual Scanner,34,T1189,Drive-by Compromise,Initial Access,High,18,2.7246511627906975,False,18,0.35545023696682465,False,False,False,True,False,False,0,Researcher/Scanner
2024-01-23 09:10:50,57.51.209.236,Japan,37.9039,140.6035,Telnet,sql_injection,28,46.21,3,30947,2,Casual Scanner,24,T1190,Exploit Public-Facing Application,Initial Access,Critical,9,1.593448275862069,False,9,0.593094683329803,False,False,True,False,False,False,25,Script Kiddie
2024-01-13 09:42:12,90.164.130.103,Brazil,-11.0296,-48.2121,SMTP,directory_traversal,85,33.79,5,18392,2,Casual Scanner,40,T1083,File and Directory Discovery,Discovery,Medium,9,0.392906976744186,False,9,2.4432308134521414,True,False,True,False,False,True,50,Script Kiddie
2024-01-09 22:11:37,187.201.80.112,India,24.9861,75.1163,RDP,directory_traversal,10,13.45,28,22754,2,Casual Scanner,12,T1083,File and Directory Discovery,Discovery,Medium,22,1.2227272727272727,False,22,0.6920415224913495,False,False,False,True,False,False,0,Researcher/Scanner
2024-01-01 10:45:27,185.240.189.189,Russia,60.376,106.0847,SMTP,port_scan,134,111.11,35,45113,1,Targeted Attacker,90,T1046,Network Service Discovery,Discovery,High,10,0.823037037037037,False,10,1.1952546606011953,True,False,False,True,False,True,25,Script Kiddie
2024-01-22 21:39:20,80.170.104.84,India,19.9067,83.4516,Telnet,credential_stuffing,32,86.51,20,33334,2,Casual Scanner,27,T1078,Valid Accounts,Defense Evasion,Critical,21,2.6215151515151516,False,21,0.36567249457204887,False,False,False,True,False,False,0,Researcher/Scanner
2024-01-24 17:24:43,141.213.0.78,Brazil,-13.6909,-55.0069,FTP,port_scan,45,74.05,20,26712,2,Casual Scanner,36,T1046,Network Service Discovery,Discovery,Medium,17,1.6097826086956522,False,17,0.5996002664890073,False,False,False,True,False,False,0,Researcher/Scanner
2024-01-22 11:28:28,169.21.72.132,Netherlands,54.9902,6.3579,SMTP,credential_stuffing,55,61.59,48,11220,0,Driven Explorer,51,T1078,Valid Accounts,Defense Evasion,Critical,11,1.0998214285714287,False,11,0.8787346221441125,True,False,False,True,False,False,25,Script Kiddie
2024-01-08 18:43:19,252.121.156.218,Iran,30.7798,56.8722,DNS,brute_force,51,18.11,3,16146,2,Casual Scanner,40,T1110,Brute Force,Credential Access,High,18,0.3482692307692308,False,18,2.6687598116169546,True,False,True,False,False,True,50,Script Kiddie
2024-01-16 08:44:24,2.228.192.221,Ukraine,47.5238,32.4633,DNS,brute_force,103,29.66,42,45164,1,Targeted Attacker,85,T1110,Brute Force,Credential Access,Critical,8,0.2851923076923077,False,8,3.3594259621656883,True,False,False,True,False,True,25,Script Kiddie
2024-01-02 22:33:29,35.205.118.171,Japan,35.4563,135.0118,RDP,directory_traversal,143,30.28,8,30014,1,Targeted Attacker,91,T1083,File and Directory Discovery,Discovery,High,22,0.21027777777777779,False,22,4.571611253196931,True,False,False,True,False,True,25,Script Kiddie
2024-01-29 13:52:46,230.40.190.221,Iran,30.6009,56.2405,Telnet,xss,130,51.5,36,29323,1,Targeted Attacker,89,T1189,Drive-by Compromise,Initial Access,Critical,13,0.3931297709923664,False,13,2.4761904761904763,True,False,False,True,False,True,25,Script Kiddie
